Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
16,clean-run,1000,true,uniform,READ,2346,3052764,1250919,1249833,12530,1,0,0,0,0,1495,1464,5145486,9155581,115691433,491405136,21895791,1434965,419991231045,486687122,44441920,3999395,1,0,0,0,0,5408,18491.12426035503,99899,51.12339462857486,36,11199,63,128,99899,101
16,avg-run,1000,true,uniform,READ,4886,6115198,2256769,2252691,22550,21,0,0,0,0,1495,1464,5145486,9155581,115691433,491407676,21895791,1434965,420009938543,486710500,44441923,3999395,1,0,0,0,0,4845,20639.83488132095,100000,45.51109,38,10935,54,119,100000
17,extend,1000,true,uniform,EXTEND,12455,44371302,15523228,15093690,136696,169893,122770,0,0,0,1495,1464,5145486,9155798,115691433,491408774,21895791,1434965,420065358539,486784661,44447439,3999395,0,0,0,0,1,4365,2290.950744558992,9995,411.68364182091045,294,28127,726,1010,9995,5
17,run,1000,true,uniform,READ,12455,47388716,16868069,16437413,136696,169893,122770,0,0,0,1495,1464,5145486,9156216,115691433,491408829,21895791,1434965,420065373933,486784908,44447439,3999395,1,0,0,0,0,5331,18758.206715438006,99891,50.35944179155279,37,11823,61,128,99891,109
17,reference,1000,true,uniform,READ,168,5146175,1757988,1721048,1119,1,0,0,0,0,1495,1464,5145486,9156232,115691433,491408829,21895791,1434965,420065373933,486784908,44447439,3999395,1,0,0,0,0,2395,41753.65344467641,100000,20.97275,16,9719,41,65,100000
17,clean-run,1000,true,uniform,READ,2535,3073217,1344074,1342117,13579,1,0,0,0,0,1495,1465,5152848,9156907,115697791,491412380,21895826,1434970,420090002987,486814073,44448375,4001093,1,0,0,0,0,5742,17415.534656913966,99902,54.52264218934556,36,11039,67,133,99902,98
17,avg-run,1000,true,uniform,READ,5084,6128448,2348017,2344019,23579,5,0,0,0,0,1495,1465,5152848,9156907,115697791,491414928,21895826,1434970,420109555946,486835131,44448377,4001093,1,0,0,0,0,4946,20218.358269308534,100000,46.49083,38,13575,64,115,100000
18,extend,1000,true,uniform,EXTEND,14935,47931249,17074509,16619003,150670,179899,136172,0,0,0,1495,1465,5152848,9157753,115705007,491416859,21895826,1434970,420165910412,486941140,44458505,4001093,0,0,0,0,1,4373,2286.7596615595703,9995,412.8648324162081,294,28959,723,982,9995,5
18,run,1000,true,uniform,READ,14935,50955202,18511857,18055195,150670,179899,136172,0,0,0,1495,1465,5152848,9158584,115705007,491416859,21895826,1434970,420165926152,486941390,44458505,4001093,1,0,0,0,0,6331,15795.2930026852,99895,60.38994944691927,38,13535,73,146,99895,105
18,reference,1000,true,uniform,READ,174,5448704,1862125,1822292,1119,1,0,0,0,0,1495,1465,5152848,9158584,115705007,491416865,21895826,1434970,420165926152,486941390,44458505,4001093,1,0,0,0,0,2417,41373.60364087712,100000,21.21809,16,9407,43,64,100000
18,clean-run,1000,true,uniform,READ,2632,3077637,1435353,1434267,14380,1,0,0,0,0,1495,1466,5163355,9159258,115705524,491421185,21895876,1434974,420191288550,486969908,44459440,4003021,1,0,0,0,0,6021,16608.536787908986,99894,57.28967705768114,39,11927,70,140,99894,106
18,avg-run,1000,true,uniform,READ,5208,6443071,2539756,2535758,25393,5,0,0,0,0,1495,1466,5163355,9159258,115705524,491423760,21895876,1434974,420212147900,486995500,44459443,4003021,1,0,0,0,0,5847,17102.78775440397,100000,55.54159,45,11103,62,135,100000
