Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
15,clean-run,1000,true,zipfian,READ,2283,3040255,1180178,1178141,12098,17,0,0,0,0,1404,734,3554132,2610978,25769212,53918273,7867675,41012,113474865768,166200955,9756739,1379505,1,0,0,0,0,7006,14273.479874393377,0,99921,66.31750082565226,37,11327,127,205,99921,79
15,avg-run,1000,true,zipfian,READ,4821,6095673,2184923,2180845,22098,21,0,0,0,0,1404,734,3554132,2610978,25769212,53920811,7867675,41012,113492418785,166222014,9756741,1379505,1,0,0,0,0,6188,16160.310277957336,0,100000,58.17975,36,12503,104,176,100000
16,extend,1000,true,uniform,EXTEND,9731,41037655,14159724,13753099,124401,159920,111342,0,0,0,1404,734,3554132,2610978,25769212,53921419,7867675,41012,113542792481,166293292,9762005,1379505,0,0,0,0,1,5490,1821.4936247723133,0,9989,518.3994393833217,308,29103,883,1149,9989,11
16,run,1000,true,zipfian,READ,9731,44046000,15430041,15022288,124401,159920,111342,0,0,0,1404,734,3554132,2610978,25769212,53921446,7867675,41012,113542809711,166293563,9762005,1379505,1,0,0,0,0,7054,14176.353841791892,0,99926,66.84692672577708,39,14023,115,195,99926,74
16,reference,1000,true,zipfian,READ,172,4843960,1656633,1619976,1119,1,0,0,0,0,1404,734,3554132,2610978,25769212,53921446,7867675,41012,113542809711,166293563,9762005,1379505,1,0,0,0,0,3247,30797.65937788728,0,100000,28.62467,17,9943,56,113,100000
16,clean-run,1000,true,zipfian,READ,2398,3056700,1267488,1265531,12792,1,0,0,0,0,1404,735,3560704,2610978,25774987,53924765,7867703,41019,113566483462,166321014,9762941,1381171,1,0,0,0,0,7655,13063.357282821686,0,99916,72.80995035830097,38,14455,137,211,99916,84
16,avg-run,1000,true,zipfian,READ,4936,6112006,2271751,2267753,22792,5,0,0,0,0,1404,735,3560704,2610978,25774987,53927303,7867703,41019,113602408314,166362874,9769973,1381171,1,0,0,0,0,6676,14979.029358897544,0,100000,62.86725,38,13151,113,193,100000
17,extend,1000,true,uniform,EXTEND,9731,44575673,15625049,15192383,137449,169925,123733,0,0,0,1404,735,3560704,2610978,25774987,53927303,7867703,41019,113630335522,166436668,9770438,1381171,0,0,0,0,1,5360,1865.6716417910447,0,9994,506.82139283570143,301,27967,848,1132,9994,6
17,run,1000,true,zipfian,READ,9731,47593511,16982262,16548446,137449,169925,123733,0,0,0,1404,735,3560704,2610978,25774987,53927303,7867703,41019,113630350718,166436910,9770438,1381171,1,0,0,0,0,7135,14015.41695865452,0,99934,67.50155102367563,39,13423,120,192,99934,66
17,reference,1000,true,zipfian,READ,172,5146495,1760770,1721220,1119,1,0,0,0,0,1404,735,3560704,2610978,25774987,53927303,7867703,41019,113630350768,166436911,9770438,1381171,1,0,0,0,0,3319,30129.557095510696,0,100000,29.50386,17,10159,59,113,100000
17,clean-run,1000,true,zipfian,READ,2487,3069402,1355423,1354337,13496,1,0,0,0,0,1404,736,3568196,2610978,25780243,53930711,7867740,41021,113654594913,166463659,9771373,1383064,1,0,0,0,0,7709,12971.851083149566,0,99932,73.37587559540488,39,11927,136,208,99932,68
17,avg-run,1000,true,zipfian,READ,5027,6129536,2359857,2355859,23509,5,0,0,0,0,1404,736,3568196,2610978,25780243,53933251,7867740,41021,113674304035,166487008,9771377,1383064,1,0,0,0,0,6566,15229.972586049345,0,100000,61.88956,39,13455,108,176,100000
18,extend,1000,true,uniform,EXTEND,10579,48101112,17186625,16728629,151308,179911,136650,0,0,0,1404,736,3568196,2610978,25780243,53934068,7867740,41021,113729351167,166564963,9777177,1383064,0,0,0,0,1,5596,1786.9907076483203,0,9986,529.6739435209294,304,29695,884,1229,9986,14
18,run,1000,true,zipfian,READ,10579,51132306,18633144,18174004,151308,179911,136650,0,0,0,1404,736,3568196,2610978,25780243,53934099,7867740,41021,113729368015,166565231,9777177,1383064,1,0,0,0,0,7508,13319.126265316996,0,99927,70.85441372201707,42,14639,126,205,99927,73
18,reference,1000,true,zipfian,READ,172,5448957,1864023,1822450,1119,1,0,0,0,0,1404,736,3568196,2610978,25780243,53934099,7867740,41021,113729368015,166565231,9777177,1383064,1,0,0,0,0,3526,28360.748723766308,0,100000,31.44298,17,10831,59,112,100000
18,clean-run,1000,true,zipfian,READ,2655,3087356,1444923,1442966,14529,1,0,0,0,0,1404,737,3575353,2610978,25786437,53937675,7867801,41024,113755042697,166596437,9778113,1384794,1,0,0,0,0,8134,12294.074256208507,0,99937,77.6729639672994,42,11639,142,220,99937,63
